factor,date,group,mean_forward_return,sample_count
low_vol20,2021-06-01,1,0.055072196553441845,24
low_vol20,2021-06-01,2,0.024178379106328782,24
low_vol20,2021-06-01,3,0.029686360679803517,24
low_vol20,2021-06-01,4,3.725842987292727e-05,24
low_vol20,2021-06-01,5,-0.03372502512563611,24
low_vol20,2021-06-02,1,0.044486391718996564,24
low_vol20,2021-06-02,2,0.06639937763904157,24
low_vol20,2021-06-02,3,0.02368450850257289,24
low_vol20,2021-06-02,4,0.0074883986900057264,24
low_vol20,2021-06-02,5,-0.020025537115823912,24
low_vol20,2021-06-03,1,0.07301400179874791,24
low_vol20,2021-06-03,2,0.00706725812034593,24
low_vol20,2021-06-03,3,0.012759878917289913,24
low_vol20,2021-06-03,4,-0.009738877179364017,24
low_vol20,2021-06-03,5,-0.05030969384069287,24
low_vol20,2021-06-04,1,0.025931815697123092,24
low_vol20,2021-06-04,2,0.08123889330569696,24
low_vol20,2021-06-04,3,0.020576176519922357,24
low_vol20,2021-06-04,4,-0.015559578693098037,24
low_vol20,2021-06-04,5,-0.05199480936948461,24
low_vol20,2021-06-07,1,0.04928166425004773,24
low_vol20,2021-06-07,2,0.06902481335323567,24
low_vol20,2021-06-07,3,-0.012303866473016789,24
low_vol20,2021-06-07,4,-0.03112513128305643,24
low_vol20,2021-06-07,5,-0.04061408425179688,24
low_vol20,2021-06-08,1,0.11140037201281526,24
low_vol20,2021-06-08,2,0.08167777602924418,24
low_vol20,2021-06-08,3,0.026473533573357272,24
low_vol20,2021-06-08,4,-0.004095805823781666,24
low_vol20,2021-06-08,5,-0.04141158728329375,24
low_vol20,2021-06-09,1,0.10659255933483609,24
low_vol20,2021-06-09,2,0.09929776841141195,24
low_vol20,2021-06-09,3,-0.007019342648460293,24
low_vol20,2021-06-09,4,-0.015265756435857277,24
low_vol20,2021-06-09,5,-0.05401076639611433,24
low_vol20,2021-06-10,1,0.09385935221035051,23
low_vol20,2021-06-10,2,0.07995250586128956,24
low_vol20,2021-06-10,3,-0.014696775599454879,24
low_vol20,2021-06-10,4,-0.007932436416640066,24
low_vol20,2021-06-10,5,-0.0496580241967318,24
low_vol20,2021-06-11,1,0.0979134594405147,23
low_vol20,2021-06-11,2,0.11900002562150062,24
low_vol20,2021-06-11,3,0.0355093262236145,24
low_vol20,2021-06-11,4,-0.003734706082543768,24
low_vol20,2021-06-11,5,-0.04157038176462983,24
low_vol20,2021-06-15,1,0.1057742944367189,23
low_vol20,2021-06-15,2,0.14478727093298613,24
low_vol20,2021-06-15,3,0.029656476588003397,24
low_vol20,2021-06-15,4,0.018337287497063457,24
low_vol20,2021-06-15,5,-0.02134561167520635,24
low_vol20,2021-06-16,1,0.16321619462147494,23
low_vol20,2021-06-16,2,0.11941899265430522,24
low_vol20,2021-06-16,3,0.0799392441600522,23
low_vol20,2021-06-16,4,0.014932928229525059,24
low_vol20,2021-06-16,5,-0.02824062743145545,24
low_vol20,2021-06-17,1,0.14837571158434634,23
low_vol20,2021-06-17,2,0.12646999959734115,24
low_vol20,2021-06-17,3,0.0928407055041075,23
low_vol20,2021-06-17,4,0.012721569131350885,24
low_vol20,2021-06-17,5,-0.013591251448410469,24
low_vol20,2021-06-18,1,0.07710299690862883,23
low_vol20,2021-06-18,2,0.09842995800361826,24
low_vol20,2021-06-18,3,0.0929666606199204,23
low_vol20,2021-06-18,4,0.004402600241497652,24
low_vol20,2021-06-18,5,-0.019462560009740712,24
low_vol20,2021-06-21,1,0.09422697987443909,23
low_vol20,2021-06-21,2,0.09240699449074391,24
low_vol20,2021-06-21,3,0.04959959851593176,23
low_vol20,2021-06-21,4,0.030220299169476647,24
low_vol20,2021-06-21,5,0.004071130483151317,24
low_vol20,2021-06-22,1,0.09553655591853114,23
low_vol20,2021-06-22,2,0.08608236094391729,24
low_vol20,2021-06-22,3,0.05038772501992001,23
low_vol20,2021-06-22,4,-0.013007879675905878,24
low_vol20,2021-06-22,5,-0.0016639612997782032,24
low_vol20,2021-06-23,1,0.13770626103520564,23
low_vol20,2021-06-23,2,0.12324642109520852,24
low_vol20,2021-06-23,3,0.028507022226840175,24
low_vol20,2021-06-23,4,0.015608946649081074,24
low_vol20,2021-06-23,5,-0.03588941202747456,24
low_vol20,2021-06-24,1,0.1647047666785619,23
low_vol20,2021-06-24,2,0.11118627492258681,24
low_vol20,2021-06-24,3,0.03152667083811849,24
low_vol20,2021-06-24,4,0.015958170937516097,24
low_vol20,2021-06-24,5,-0.008702044068257577,24
low_vol20,2021-06-25,1,0.11694569541183937,24
low_vol20,2021-06-25,2,0.07654510276565767,24
low_vol20,2021-06-25,3,0.0062918634957690915,24
low_vol20,2021-06-25,4,-0.007761321292089271,24
low_vol20,2021-06-25,5,-0.05117112020251171,24
low_vol20,2021-06-28,1,0.0673224808127455,24
low_vol20,2021-06-28,2,0.039110232119225215,24
low_vol20,2021-06-28,3,-0.017431067715783854,24
low_vol20,2021-06-28,4,-0.025915451536438608,24
low_vol20,2021-06-28,5,-0.06982025403499657,24
low_vol20,2021-06-29,1,0.03374104625951975,24
low_vol20,2021-06-29,2,-0.012125513625400755,24
low_vol20,2021-06-29,3,-0.020026357548657562,24
low_vol20,2021-06-29,4,-0.04945292936792467,24
low_vol20,2021-06-29,5,-0.0849950190270895,24
low_vol20,2021-06-30,1,0.033070989916314596,23
low_vol20,2021-06-30,2,-0.06872962979692145,24
low_vol20,2021-06-30,3,-0.018905776862934324,24
low_vol20,2021-06-30,4,-0.07008541554148959,24
low_vol20,2021-06-30,5,-0.083554149246156,24
low_vol20,2021-07-01,1,0.08544171960545194,24
low_vol20,2021-07-01,2,0.026768534675218284,24
low_vol20,2021-07-01,3,0.009564717339340834,24
low_vol20,2021-07-01,4,-0.08036863900557582,24
low_vol20,2021-07-01,5,-0.060895404909291906,24
low_vol20,2021-07-02,1,0.12939199425221515,24
low_vol20,2021-07-02,2,0.022677296729750107,24
low_vol20,2021-07-02,3,0.023623618357613247,24
low_vol20,2021-07-02,4,-0.035470592876795555,24
low_vol20,2021-07-02,5,-0.031303763893302104,24
low_vol20,2021-07-05,1,0.12882178537831715,24
low_vol20,2021-07-05,2,0.07845124595142051,24
